,Symbols,Source_urls,Oustanding_Shares,Raw_outstanding_share_vals
SLB,SLB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/87347/000156459022035199/slb-10q_20220930.htm',"1,417,993,775",1417993775
STX,STX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1137789/000113778922000123/stx-20220930.htm',"206,454,363",206454363
SEE,SEE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1012100/000162828022027548/see-20220930.htm',"144,657,522",144657522
SRE,SRE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1032208/000103220822000052/sre-20220930.htm',"314,333,363",314333363
NOW,NOW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1373715/000137371522000330/now-20220930.htm',"202,000,000",202000000
SHW,SHW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/89800/000008980022000037/shw-20220930.htm',"259,143,416",259143416
SPG,SPG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1063761/000155837022016109/spg-20220930x10q.ht,"326,945,791",326945791
SWKS,SWKS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/4127/000000412722000038/swks-20220930.htm',"160,161,064",160161064
SJM,SJM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/91419/000009141922000140/sjm-20221031.htm',"106,639,011",106639011
SNA,SNA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/91440/000009144022000031/sna-20221001.htm',"53,154,639",53154639
ZK,ZK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1419612/000117891322003868/zk2228664.htm',"55,894,875",55894875
SO,SO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/92122/000009212222000064/so-20220930.htm',"1,088,672,828",1088672828
LUV,LUV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/92380/000009238022000060/luv-20220930.htm',"593,752,004",593752004
SWK,SWK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/93556/000009355622000044/swk-20221001.htm',"147,941,786",147941786
SBUX,SBUX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/829224/000082922422000058/sbux-20221002.htm',"1,147,800,000",1147800000
STT,STT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/93751/000009375122000617/stt-20220930.htm',"366,940,147",366940147
STLD,STLD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1022671/000155837022015423/stld-20220930x10q.h,"175,571,409",175571409
STE,STE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1757898/000175789822000021/ste-20220930.htm',"99,822,953",99822953
SYK,SYK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/310764/000031076422000105/syk-20220930.htm',"378,429,929",378429929
SIVB,SIVB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/719739/000071973922000081/sivb-20220930.htm',"59,104,124",59104124
SYF,SYF,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1601712/000160171222000249/syf-20220930.htm',"450,541,428",450541428
SNPS,SNPS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/883241/000088324122000017/snps-20221031.htm',"152,417,194",152417194
SYY,SYY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/96021/000009602122000211/syy-20221001.htm',"506,767,526",506767526
TMUS,TMUS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1283699/000128369922000141/tmus-20220930.htm',"1,244,154,134",1244154134
TROW,TROW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1113169/000111316922000025/trow-20220930.htm',"223,464,812",223464812
TTWO,TTWO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/946581/000162828022028716/ttwo-20220930.htm',"167,819,126",167819126
TPR,TPR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1116132/000111613222000026/tpr-20221001.htm',"240,961,301",240961301
TRGP,TRGP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1389170/000095017022021813/trgp-20220930.htm',"226,375,387",226375387
TGT,TGT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/27419/000002741922000037/tgt-20221029.htm',"460,310,088",460310088
TEL,TEL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1385157/000155837022017931/tel-20220930x10k.ht,"317,230,563",317230563
TDY,TDY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1094285/000109428522000121/tdy-20221002.htm',"46,871,093",46871093
TFX,TFX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/96943/000009694322000106/tfx-20220925.htm',"46,906,435",46906435
D386683D10Q.HTM',D386683D10Q.HTM','https://www.sec.gov/ix?doc=/Archives/edgar/data/97210/000119312522277821/d386683d10q.htm',"155,756,146",155756146
TSLA,TSLA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1318605/000095017022019867/tsla-20220930.htm',"3,157,752,449",3157752449
TXN,TXN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/97476/000009747622000048/txn-20220930.htm',"907,571,712",907571712
TXT,TXT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/217346/000021734622000025/txt-20221001.htm',"208,771,472",208771472
TMO,TMO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/97745/000009774522000057/tmo-20221001.htm',"392,195,557",392195557
TJX,TJX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/109198/000010919822000044/tjx-20221029.htm',"1,155,504,149",1155504149
TSCO,TSCO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/916365/000091636522000112/tsco-20220924.htm',"110,463,245",110463245
TT,TT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1466258/000146625822000186/tt-20220930.htm',"230,307,296",230307296
TDG,TDG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1260221/000126022122000065/tdg-20220930.htm',"54,374,596",54374596
TRV,TRV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/86312/000008631222000065/trv-20220930.htm',"234,347,525",234347525
TRMB,TRMB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/864749/000086474922000187/trmb-20220930.htm',"246,624,691",246624691
TFC,TFC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/92230/000009223022000110/tfc-20220930.htm',"1,326,766,288",1326766288
TYL,TYL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/860731/000086073122000043/tyl-20220930.htm',"41,639,898",41639898
TSN,TSN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/100493/000010049322000097/tsn-20221001.htm',"289,578,956",289578956
D,D,'https://www.sec.gov/ix?doc=/Archives/edgar/data/36104/000119312522275036/d245647d10q.htm',"1,485,823,486",1485823486
UDR,UDR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/74208/000007420822000068/udr-20220930x10q.htm',"325,541,780",325541780
ULTA,ULTA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1403568/000155837022018318/ulta-20221029x10q.h,"50,880,771",50880771
UNP,UNP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/100885/000143774922024458/unp20220930_10q.htm',"614,800,800",614800800
UAL,UAL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/100517/000010051722000078/ual-20220930.htm',"326,927,831",326927831
UPS,UPS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1090727/000109072722000047/ups-20220930.htm',"135,097,238",135097238
URI,URI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1067701/000106770122000039/uri-20220930.htm',"69,308,481",69308481
UNH,UNH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/731766/000073176622000044/unh-20220930.htm',"934,349,073",934349073
UHS,UHS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/352915/000156459022037046/uhs-10q_20220930.htm,"6,577,100",6577100
VLO,VLO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1035002/000103500222000049/vlo-20220930.htm',"385,523,278",385523278
VTR,VTR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/740260/000074026022000167/vtr-20220930.htm',"399,717,985",399717985
VRSN,VRSN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1014473/000101447322000027/vrsn-20220930.htm',"106,016,456",106016456
VRSK,VRSK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1442145/000143774922025374/vrsk20220930_10q.ht,"156,387,950",156387950
VZ,VZ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/732712/000073271222000050/vz-20220930.htm',"4,199,817,447",4199817447
VRTX,VRTX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/875320/000087532022000038/vrtx-20220930.htm',"256,691,452",256691452
VFC,VFC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/103379/000010337922000016/vfc-20221001.htm',"388,566,085",388566085
VTRS,VTRS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1792044/000179204422000036/vtrs-20220930.htm',"1,212,684,598",1212684598
VICI,VICI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1705696/000170569622000130/vici-20220930.htm',"963,097,848",963097848
V,V,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1403161/000140316122000081/v-20220930.htm',"1,628,169,18",162816918
VMC,VMC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1396009/000139600922000049/vmc-20220930x10q.ht,"132,906,866",132906866
WAB,WAB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/943452/000162828022027500/wab-20220930.htm',"181,867,864",181867864
WBA,WBA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1618921/000161892123000005/wba-20221130.htm',"862,503,554",862503554
WMT,WMT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/104169/000010416922000083/wmt-20221031.htm',"2,696,800,054",2696800054
DISCA,DISCA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1437107/000143710722000231/disca-20220930.htm',"2,428,396,015",2428396015
WM,WM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/823768/000155837022015389/wm-20220930x10q.htm',"410,477,096",410477096
D310383D10Q.HTM',D310383D10Q.HTM','https://www.sec.gov/ix?doc=/Archives/edgar/data/1000697/000119312522276585/d310383d10q.htm',"59,407,575",59407575
WEC,WEC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/783325/000010781522000307/wec-20220930.htm',"315,434,531",315434531
WFC,WFC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/72971/000007297122000205/wfc-20220930.htm',"3,810,490,898",3810490898
WELL,WELL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/766704/000076670422000061/well-20220930.htm',"472,521,446",472521446
WST,WST,'https://www.sec.gov/ix?doc=/Archives/edgar/data/105770/000010577022000054/wst-20220930.htm',"74,032,987",74032987
WDC,WDC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/106040/000010604022000065/wdc-20220930.htm',"317,650,295",317650295
WRK,WRK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1732845/000095017022025444/wrk-20220930.htm',"254,463,987",254463987
WY,WY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/106535/000156459022035696/wy-10q_20220930.htm',"735,917,000",735917000
WHR,WHR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/106640/000010664022000138/whr-20220930.htm',"54,478,354",54478354
WMB,WMB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/107263/000010726322000030/wmb-20220930.htm',"1,218,339,828",1218339828
WTW,WTW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1140536/000095017022020347/wtw-20220930.htm',"108,237,621",108237621
GWW,GWW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/277135/000027713522000043/gww-20220930.htm',"50,529,263",50529263
WYNN,WYNN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1174922/000117492222000149/wynn-20220930.htm',"113,313,591",113313591
XEL,XEL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/72903/000007290322000063/xel-20220930.htm',"547,248,496",547248496
XYL,XYL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1524472/000152447222000053/xyl-20220930.htm',"180,221,532",180221532
YUM,YUM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1041061/000104106122000040/yum-20220930.htm',"281,687,866",281687866
ZBRA,ZBRA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/877212/000087721222000117/zbra-20221001.htm',"51,629,798",51629798
ZBH,ZBH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1136869/000095017022021220/zbh-20220930.htm',"209,852,392",209852392
ZIONS,ZIONS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/109380/000010938022000184/zions-20220930.htm',"149,617,754",149617754
ZTS,ZTS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1555280/000155528022000276/zts-20220930.htm',"466,071,995",466071995
